projectID,spritesWithCodeNo,codeBlocksNo,linesNo,maxIndentation
98739466,249,2870,34622,30
98843276,186,1521,30753,19
99551288,292,2017,29378,21
99159031,87,397,27308,59
98847542,87,397,27308,59
99168927,87,397,27308,59
99793278,87,397,27308,59
98546874,86,396,27288,59
97790616,272,1139,27002,83
99549734,272,1138,26988,83
99085090,272,1138,26988,83
98870919,272,1138,26988,83
96186510,165,1763,25392,27
99174543,115,1697,24810,12
99493034,115,1697,24810,12
99248198,115,1697,24810,12
98677394,115,1697,24810,12
98540880,114,1691,24786,12
98474692,114,1691,24786,12
98499292,114,1691,24783,12
99926351,408,2424,24174,17
98994870,111,1606,23324,12
99396906,118,896,23183,15
74204598,312,688,22447,29
25142995,286,579,21369,29
98764838,57,247,20988,27
99744194,57,246,20986,27
98555046,57,246,20986,27
99300508,51,240,20959,27
98918491,305,560,20946,29
