projectID,spritesWithCodeNo,codeBlocksNo,linesNo,maxIndentation
97431875,525,1085,7829,7
99926351,408,2424,24174,17
98768234,367,889,5500,12
98816143,360,379,1483,3
74204598,312,688,22447,29
98555659,311,1726,11148,13
99894024,310,1724,11146,13
99783410,310,1728,11090,13
99447134,307,525,18860,29
98587070,307,786,11482,13
98648632,307,309,1836,1
98682939,306,528,18906,29
99791681,306,2594,5856,3
99733669,306,2590,5839,3
99643282,306,2590,5839,3
98918491,305,560,20946,29
99798893,305,519,18851,29
99714270,305,521,18848,29
99157485,305,518,18848,29
87975625,305,518,18842,29
98537520,304,521,18888,29
99463268,304,520,18888,29
98528641,304,519,18850,29
98675379,304,520,18849,29
99547205,304,520,18847,29
99834967,304,516,18846,29
99843060,304,518,18845,29
99843133,304,518,18845,29
99589893,304,518,18844,29
99737527,304,517,18844,29
99644858,304,517,18844,29
98670336,304,517,18844,29
99433294,304,517,18844,29
99290867,304,517,18844,29
96255497,304,517,18844,29
99494459,304,517,18844,29
92614887,304,517,18844,29
98655978,304,517,18844,29
99138141,304,517,18844,29
98759679,304,517,18844,29
99393111,304,517,18844,29
98599473,304,517,18844,29
98986053,304,517,18844,29
98634833,304,517,18844,29
99348680,304,517,18844,29
99205343,304,517,18844,29
99302194,304,517,18844,29
98653362,304,517,18844,29
98105838,304,517,18844,29
99704257,304,517,18844,29
99730374,304,517,18844,29
99505554,304,517,18844,29
99154125,304,517,18844,29
99064980,304,517,18844,29
94034881,304,517,18844,29
99851885,304,517,18844,29
99333180,304,517,18844,29
99920550,304,517,18844,29
98671416,304,517,18844,29
99255777,304,517,18844,29
98651001,304,517,18844,29
99171718,304,517,18844,29
98740086,304,517,18844,29
97652566,304,517,18844,29
99337231,304,517,18844,29
98082246,304,517,18844,29
89117721,304,517,18844,29
99350816,304,517,18844,29
99375685,304,517,18844,29
98426307,304,517,18844,29
98629727,304,517,18844,29
99618699,304,517,18844,29
99645918,304,517,18844,29
99692705,304,517,18844,29
99599572,304,517,18844,29
99568858,304,517,18844,29
99928697,304,517,18844,29
99572067,304,517,18844,29
98919482,304,517,18844,29
99340718,304,517,18844,29
99173030,304,517,18844,29
98512479,304,517,18844,29
99315105,304,517,18844,29
99259702,304,517,18844,29
99169821,304,517,18844,29
99808042,304,517,18844,29
99390247,304,517,18844,29
99578874,304,517,18844,29
99174696,304,517,18844,29
99466892,304,517,18844,29
98145384,304,517,18844,29
98687438,304,517,18844,29
99148834,304,517,18844,29
98718095,304,517,18844,29
98837339,304,517,18844,29
99589494,304,517,18844,29
99087672,304,517,18844,29
99557280,304,517,18844,29
99119388,304,517,18844,29
99055332,304,517,18844,29
99532892,304,517,18844,29
98520360,304,517,18844,29
99894254,304,517,18844,29
99138143,304,517,18844,29
99640864,304,517,18844,29
96893906,304,517,18844,29
98900800,304,517,18844,29
99483538,304,517,18844,29
99560953,304,517,18844,29
98842841,304,517,18844,29
99308393,304,517,18844,29
99322960,304,517,18844,29
99446933,304,517,18844,29
99283049,304,517,18844,29
99174196,304,517,18844,29
98397318,304,517,18844,29
99945329,304,517,18844,29
99093183,304,517,18844,29
99770714,304,517,18844,29
98803056,304,517,18844,29
99040491,304,517,18844,29
99474490,304,517,18844,29
99228534,304,517,18844,29
99216042,304,517,18844,29
97309744,304,514,18841,29
87035855,304,519,18840,29
98172487,304,517,18840,29
99225856,304,514,18810,29
99245345,304,514,18810,29
86907177,303,518,18844,29
98799996,303,512,18806,29
99222370,303,508,18586,29
99622264,301,505,18697,29
99536263,301,2481,5571,3
99488117,301,2481,5571,3
