projectID,scriptID,cyclomatic complexity
97703582,19,246
98194934,0,232
98967110,19,221
98967110,144,217
98967110,71,217
98027263,1,201
98607355,10,183
98643343,17,181
94214514,50,172
98035624,68,171
99947056,70,171
98485087,0,168
99947056,92,163
98035624,86,163
99168927,66,152
99793278,66,152
99159031,66,152
98546874,64,152
99793278,63,152
99159031,63,152
98847542,66,152
99168927,63,152
98847542,63,152
99168927,64,152
98847542,65,152
99793278,64,152
99159031,64,152
98546874,65,152
98546874,66,152
99793278,65,152
99159031,65,152
98546874,63,152
98847542,64,152
99168927,65,152
99511299,8,140
98640099,6,139
98812751,345,133
98812751,341,133
98812751,338,133
98967110,156,133
98812751,349,133
98812751,353,133
98861708,18,132
99213279,27,131
98648658,3,130
98703861,3,130
98886026,1,129
98861708,9,127
99782414,7,124
98772853,4,123
97291731,4,123
88187113,4,123
99239192,4,123
98991549,4,123
99436472,4,123
98291068,4,123
99600441,4,123
98993183,4,123
98555906,4,123
99817598,4,123
99426287,4,123
99315276,4,123
97719726,4,123
99009328,4,123
99840151,4,123
99828542,5,123
98667135,4,123
98988186,4,123
98292807,4,123
99343043,10,123
98945669,4,123
98558041,4,123
98909801,4,123
98612711,4,123
98525043,4,123
99820344,4,123
99161296,4,123
99042547,4,123
99619862,4,123
98602724,4,123
98830390,4,123
96717129,4,123
99644950,4,123
98861708,335,122
99248293,4,121
99336792,4,121
98534101,4,121
99188443,11,121
99061380,4,121
98638604,4,121
99545082,4,121
99140537,3,121
97834722,4,121
98703657,4,121
99505251,4,121
98187846,4,121
96384482,4,121
96832535,14,121
98924615,4,121
99210833,4,121
99141257,4,121
98679945,4,121
98962374,4,121
98609954,5,121
98616442,4,121
99123750,4,121
99286193,15,121
98908873,14,121
98049595,4,121
99020553,4,121
98980484,4,121
99384746,4,121
98688086,4,121
99355777,4,121
98492331,4,121
99025553,3,121
99497512,11,121
99554529,4,121
99343229,10,121
98766528,4,121
99011809,4,121
98738124,4,121
98933870,4,121
99084970,13,121
98609954,6,121
98968271,4,121
97766755,4,121
98582090,4,121
99031760,4,121
98920086,14,121
98545347,4,121
99339936,4,121
98655824,4,121
99420081,5,121
99775813,33,121
99076259,4,121
99523077,4,121
99473653,4,121
99931286,4,121
98592442,4,121
98808118,4,121
98575588,14,121
98692129,4,121
99500844,4,121
99145817,4,121
98936405,4,121
98708746,4,121
99018769,4,121
96811541,4,121
99556760,4,121
99297903,4,121
99539264,4,121
97311754,4,121
99928643,4,121
99336622,4,121
98626300,4,121
99064952,4,121
99447091,4,121
98623337,4,121
99085574,4,121
99317509,4,121
98708757,15,121
98484704,4,121
99506389,4,121
98688942,4,121
98631987,9,121
98814266,4,121
99599789,4,121
98871819,4,121
98518793,3,121
99174041,4,121
99573856,6,121
99137518,3,121
99018554,9,121
99269397,4,121
99097123,4,121
98889754,4,121
99606631,4,121
98834704,4,121
99722867,3,121
99463188,17,121
99576302,4,121
99091180,4,121
99509487,4,121
98667103,4,121
99142555,4,121
98530126,3,121
99620235,5,121
98593514,4,121
98845582,14,121
98833460,4,121
96611858,4,121
99941353,14,121
98930514,4,121
99056632,14,121
98587917,38,120
96947186,0,119
99494794,4,119
99634956,0,119
99295245,3,117
88162828,48,113
99551288,1548,113
99283364,7,107
99586277,22,106
98159429,149,104
98159429,152,103
98159429,150,103
98159429,151,103
99539807,1,103
